,list,vote,director
0,Captain America: The First Avenger,"<span class=""text-muted"">Votes:</span>","<a href=""/name/nm0002653/"">Joe Johnston</a>"
1,Iron Man,"<span class=""text-muted"">Votes:</span>","<a href=""/name/nm0269463/"">Jon Favreau</a>"
2,The Incredible Hulk,"<span class=""text-muted"">Votes:</span>","<a href=""/name/nm0504642/"">Louis Leterrier</a>"
3,Iron Man 2,"<span class=""text-muted"">Votes:</span>","<a href=""/name/nm0269463/"">Jon Favreau</a>"
4,Thor,"<span class=""text-muted"">Votes:</span>","<a href=""/name/nm0000110/"">Kenneth Branagh</a>"
5,The Avengers,"<span class=""text-muted"">Votes:</span>","<a href=""/name/nm0923736/"">Joss Whedon</a>"
6,Iron Man Three,"<span class=""text-muted"">Votes:</span>","<a href=""/name/nm0000948/"">Shane Black</a>"
7,Thor: The Dark World,"<span class=""text-muted"">Votes:</span>","<a href=""/name/nm0851930/"">Alan Taylor</a>"
8,Captain America: The Winter Soldier,"<span class=""text-muted"">Votes:</span>","<a href=""/name/nm0751577/"">Anthony Russo</a>"
9,Guardians of the Galaxy,"<span class=""text-muted"">Votes:</span>","<a href=""/name/nm0348181/"">James Gunn</a>"
10,Guardians of the Galaxy Vol. 2,"<span class=""text-muted"">Votes:</span>","<a href=""/name/nm0348181/"">James Gunn</a>"
11,Avengers: Age of Ultron,"<span class=""text-muted"">Votes:</span>","<a href=""/name/nm0923736/"">Joss Whedon</a>"
12,Ant-Man,"<span class=""text-muted"">Votes:</span>","<a href=""/name/nm0715636/"">Peyton Reed</a>"
13,Captain America: Civil War,"<span class=""text-muted"">Votes:</span>","<a href=""/name/nm0751577/"">Anthony Russo</a>"
14,Spider-Man: Homecoming,"<span class=""text-muted"">Votes:</span>","<a href=""/name/nm1218281/"">Jon Watts</a>"
15,Doctor Strange,"<span class=""text-muted"">Votes:</span>","<a href=""/name/nm0220600/"">Scott Derrickson</a>"
16,Thor: Ragnarok,"<span class=""text-muted"">Votes:</span>","<a href=""/name/nm0169806/"">Taika Waititi</a>"
17,Black Panther,"<span class=""text-muted"">Votes:</span>","<a href=""/name/nm3363032/"">Ryan Coogler</a>"
18,Avengers: Infinity War,"<span class=""text-muted"">Votes:</span>","<a href=""/name/nm0751577/"">Anthony Russo</a>"
19,Ant-Man and the Wasp,"<span class=""text-muted"">Votes:</span>","<a href=""/name/nm0715636/"">Peyton Reed</a>"
20,Captain Marvel,"<span class=""text-muted"">Votes:</span>","<a href=""/name/nm1349818/"">Anna Boden</a>"
